tag,yr,mo,total
"sql","2015","2","4386"
"sql","2015","3","5011"
"sql","2015","4","4910"
"sql","2015","5","4700"
"sql","2015","6","4770"
"sql","2015","7","4891"
"sql","2015","8","4497"
"sql","2015","9","4339"
"sql","2015","10","4464"
"sql","2015","11","4398"
"sql","2015","12","4256"
"sql","2016","1","4504"
"sql","2016","2","4699"
"sql","2016","3","5144"
"sql","2016","4","4991"
"sql","2016","5","4896"
"sql","2016","6","5003"
"sql","2016","7","4403"
"sql","2016","8","4495"
"sql","2016","9","4350"
"sql","2016","10","4628"
"sql","2016","11","4758"
"sql","2016","12","4190"
"sql","2017","1","4402"
"sql","2017","2","4458"
"sql","2017","3","5389"
"sql","2017","4","4745"
"sql","2017","5","5176"
"sql","2017","6","4861"
"sql","2017","7","4838"
"sql","2017","8","4626"
"sql","2017","9","4254"
"sql","2017","10","4629"
"sql","2017","11","4637"
"sql","2017","12","3785"
"sql","2018","1","4282"
"sql","2018","2","4159"
"sql","2018","3","4807"
"sql","2018","4","4784"
"sql","2018","5","4842"
"sql","2018","6","4481"
"sql","2018","7","4627"
"sql","2018","8","4513"
"sql","2018","9","3981"
"sql","2018","10","4649"
"sql","2018","11","4405"
"sql","2018","12","3762"
"sql","2019","1","4244"
"sql","2019","2","4459"
"sql","2019","3","4910"
"sql","2019","4","4560"
"sql","2019","5","4404"
"sql","2019","6","3817"
"sql","2019","7","4443"
"sql","2019","8","3989"
"sql","2019","9","1001"
"php","2008","8","162"
"php","2008","9","483"
"php","2008","10","620"
"php","2008","11","504"
"php","2008","12","480"
"php","2009","1","637"
"php","2009","2","769"
"php","2009","3","904"
"php","2009","4","968"
"php","2009","5","1183"
"php","2009","6","1580"
"php","2009","7","2035"
"php","2009","8","2188"
"php","2009","9","2270"
"php","2009","10","2367"
"php","2009","11","2692"
"php","2009","12","2831"
"php","2010","1","3444"
"php","2010","2","3170"
"php","2010","3","3758"
"php","2010","4","3655"
"php","2010","5","3994"
"php","2010","6","4101"
"php","2010","7","4616"
"php","2010","8","5159"
"php","2010","9","4704"
"php","2010","10","4529"
"php","2010","11","5129"
"php","2010","12","5404"
"php","2011","1","6462"
"php","2011","2","6751"
"php","2011","3","8165"
"php","2011","4","7708"
"php","2011","5","8150"
"php","2011","6","8088"
"php","2011","7","8758"
"php","2011","8","9004"
"php","2011","9","8142"
"php","2011","10","8139"
"php","2011","11","8759"
"php","2011","12","8412"
"php","2012","1","9406"
"php","2012","2","10048"
"php","2012","3","11024"
"php","2012","4","10531"
"php","2012","5","11045"
"php","2012","6","10675"
"php","2012","7","11867"
"php","2012","8","11989"
"php","2012","9","11057"
"php","2012","10","11887"
"php","2012","11","11862"
"php","2012","12","11157"
"php","2013","1","13008"
"php","2013","2","12798"
"php","2013","3","14364"
"php","2013","4","13615"
"php","2013","5","13306"
"php","2013","6","12891"
"php","2013","7","14517"
"php","2013","8","14491"
"php","2013","9","14424"
"php","2013","10","15528"
"php","2013","11","15088"
"php","2013","12","14614"
"php","2014","1","17055"
"php","2014","2","16784"
"php","2014","3","18619"
"php","2014","4","17965"
"php","2014","5","15030"
"php","2014","6","13258"
"php","2014","7","14518"
"php","2014","8","13418"
"php","2014","9","13561"
"php","2014","10","13831"
"php","2014","11","13231"
"php","2014","12","12566"
"php","2015","1","13818"
"php","2015","2","13665"
"php","2015","3","15116"
"php","2015","4","15173"
"php","2015","5","14750"
"php","2015","6","14545"
"php","2015","7","15570"
"php","2015","8","14422"
"php","2015","9","13689"
"php","2015","10","14090"
"php","2015","11","13493"
"php","2015","12","13937"
"php","2016","1","14757"
"php","2016","2","15101"
"php","2016","3","15305"
"php","2016","4","14666"
"php","2016","5","14617"
"php","2016","6","13816"
"php","2016","7","13062"
"php","2016","8","13017"
"php","2016","9","12280"
"php","2016","10","12404"
"php","2016","11","12085"
"php","2016","12","11606"
"php","2017","1","12767"
"php","2017","2","12664"
"php","2017","3","14232"
"php","2017","4","12585"
"php","2017","5","13196"
"php","2017","6","11927"
"php","2017","7","11936"
"php","2017","8","11790"
"php","2017","9","10832"
"php","2017","10","10977"
"php","2017","11","10732"
"php","2017","12","9268"
"php","2018","1","10283"
"php","2018","2","9279"
"php","2018","3","9998"
"php","2018","4","9101"
"php","2018","5","9612"
"php","2018","6","8591"
"php","2018","7","8724"
"php","2018","8","8671"
"php","2018","9","8520"
"php","2018","10","9309"
"php","2018","11","8296"
"php","2018","12","7188"
"php","2019","1","8320"
"php","2019","2","8422"
"php","2019","3","9035"
"php","2019","4","8475"
"php","2019","5","8231"
"php","2019","6","7065"
"php","2019","7","7846"
"php","2019","8","7474"
"php","2019","9","2077"
"c++","2008","8","164"
"c++","2008","9","757"
"c++","2008","10","813"
"c++","2008","11","736"
"c++","2008","12","632"
"c++","2009","1","853"
"c++","2009","2","845"
"c++","2009","3","1056"
"c++","2009","4","1023"
"c++","2009","5","1219"
"c++","2009","6","1253"
"c++","2009","7","1467"
"c++","2009","8","1402"
"c++","2009","9","1466"
"c++","2009","10","1689"
"c++","2009","11","1758"
"c++","2009","12","1659"
"c++","2010","1","2003"
"c++","2010","2","2278"
"c++","2010","3","2439"
"c++","2010","4","2493"
"c++","2010","5","2423"
"c++","2010","6","2830"
"c++","2010","7","2693"
"c++","2010","8","2642"
"c++","2010","9","2745"
"c++","2010","10","2936"
"c++","2010","11","3373"
"c++","2010","12","3143"
"c++","2011","1","3508"
"c++","2011","2","3457"
